target_id,project,source,catalog_ids,ra_deg,dec_deg,data_products_available,estimated_download_gb,search_category,scientific_novelty,prior_significance,followup_leverage,data_quality,method_advantage,publication_value,community_integration,new_followup_balance,storage_cost_penalty,total_priority,status,notes,citations
TIC 201251996,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 201251996,0.839616013168312,-59.7677755971238,"QLP light curves: 7; sectors: 1,28,68,69,95,96,102",0.00359712,new_target,3.0,2.0,2.0,2.321,2.0,2.0,3.0,3.0,0,19.321,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 280794969,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 280794969,359.254791322294,-60.146574653102,"QLP light curves: 6; sectors: 1,28,68,95,96,102",0.00293472,new_target,3.0,2.0,2.0,2.321,2.0,2.0,3.0,3.0,0,19.321,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 355704482,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 355704482,0.793341805978792,-60.0505379568384,"QLP light curves: 7; sectors: 1,2,28,68,95,96,102",0.00301536,new_target,3.0,2.0,2.0,2.301,2.0,2.0,3.0,3.0,0,19.301,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 355651994,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 355651994,0.0162706256106698,-60.1897357742323,"QLP light curves: 6; sectors: 1,28,68,95,96,102",0.00293472,new_target,3.0,2.0,2.0,2.291,2.0,2.0,3.0,3.0,0,19.291,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 201249706,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 201249706,0.704133303144861,-59.8168823289669,"QLP light curves: 6; sectors: 1,28,68,95,96,102",0.00293472,new_target,3.0,2.0,2.0,2.29,2.0,2.0,3.0,3.0,0,19.29,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 201249663,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 201249663,0.580921909032912,-59.770178524103,"QLP light curves: 6; sectors: 1,28,68,95,96,102",0.00293472,new_target,3.0,2.0,2.0,2.23,2.0,2.0,3.0,3.0,0,19.23,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 280794974,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 280794974,359.386126376953,-60.1274901528681,"QLP light curves: 6; sectors: 1,28,68,95,96,102",0.00293472,new_target,3.0,2.0,2.0,2.216,2.0,2.0,3.0,3.0,0,19.216,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 355687437,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 355687437,0.437415116219443,-60.2118829676238,"QLP light curves: 7; sectors: 1,2,28,68,95,96,102",0.00301536,new_target,3.0,2.0,2.0,2.216,2.0,2.0,3.0,3.0,0,19.216,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 280803538,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 280803538,359.866569809585,-60.1710767255118,"QLP light curves: 6; sectors: 1,28,68,95,96,102",0.00293472,new_target,3.0,2.0,2.0,2.184,2.0,2.0,3.0,3.0,0,19.184,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
TIC 339578474,2026 Exoplanet Research,MAST TIC and TESS light-curve product metadata,TIC 339578474,359.413976013911,-59.7658872568303,"QLP light curves: 7; sectors: 1,2,28,68,95,96,102",0.00301536,new_target,3.0,2.0,2.0,2.174,2.0,2.0,3.0,3.0,0,19.174,queued,"Selected from the faint-star novelty frontier after TOI, CTOI, confirmed-host, and prior-scan exclusions; exact MAST products verified.",https://mast.stsci.edu/; https://exoplanetarchive.ipac.caltech.edu/; https://exofop.ipac.caltech.edu/tess/
